decubitus ulcer	http://purl.obolibrary.org/obo/DOID_8717	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
pressure ulcer	http://purl.obolibrary.org/obo/DOID_8717	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
decubitus \(pressure\) ulcer	http://purl.obolibrary.org/obo/DOID_8717	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
pressure sores	http://purl.obolibrary.org/obo/DOID_8717	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
decubitus ulcer	http://purl.obolibrary.org/obo/DOID_8717	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
pressure ulcer	http://purl.obolibrary.org/obo/DOID_8717	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
decubitus \(pressure\) ulcer	http://purl.obolibrary.org/obo/DOID_8717	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
pressure sore	http://purl.obolibrary.org/obo/DOID_8717	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
neurofibromatosis	http://purl.obolibrary.org/obo/DOID_8712	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
von reklinghausen disease	http://purl.obolibrary.org/obo/DOID_8712	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
neurofibromatosis	http://purl.obolibrary.org/obo/DOID_8712	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
von reklinghausen disease	http://purl.obolibrary.org/obo/DOID_8712	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
in situ carcinoma	http://purl.obolibrary.org/obo/DOID_8719	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
in situ carcinoma	http://purl.obolibrary.org/obo/DOID_8719	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
genital herpes	http://purl.obolibrary.org/obo/DOID_8704	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
venereal herpes	http://purl.obolibrary.org/obo/DOID_8704	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
herpes genitalis	http://purl.obolibrary.org/obo/DOID_8704	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
genital herpes	http://purl.obolibrary.org/obo/DOID_8704	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
venereal herpes	http://purl.obolibrary.org/obo/DOID_8704	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
herpes genitali	http://purl.obolibrary.org/obo/DOID_8704	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
cheek mucosa cancer	http://purl.obolibrary.org/obo/DOID_8702	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
malignant tumor of buccal mucosa	http://purl.obolibrary.org/obo/DOID_8702	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
malignant neoplasm of buccal mucosa	http://purl.obolibrary.org/obo/DOID_8702	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
malignant neoplasm of the buccal mucosa	http://purl.obolibrary.org/obo/DOID_8702	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
malignant neoplasm of cheek, inner aspect	http://purl.obolibrary.org/obo/DOID_8702	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
cheek mucosa cancer	http://purl.obolibrary.org/obo/DOID_8702	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
malignant tumor of buccal mucosa	http://purl.obolibrary.org/obo/DOID_8702	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
malignant neoplasm of buccal mucosa	http://purl.obolibrary.org/obo/DOID_8702	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
malignant neoplasm of the buccal mucosa	http://purl.obolibrary.org/obo/DOID_8702	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
malignant neoplasm of cheek, inner aspect	http://purl.obolibrary.org/obo/DOID_8702	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
leukoplakia of penis	http://purl.obolibrary.org/obo/DOID_8738	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
penile leukoplakia	http://purl.obolibrary.org/obo/DOID_8738	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
kraurosis of penis	http://purl.obolibrary.org/obo/DOID_8738	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
leukoplakium of penis	http://purl.obolibrary.org/obo/DOID_8738	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
penile leukoplakium	http://purl.obolibrary.org/obo/DOID_8738	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
kraurosis of penis	http://purl.obolibrary.org/obo/DOID_8738	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
smallpox	http://purl.obolibrary.org/obo/DOID_8736	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
smallpox	http://purl.obolibrary.org/obo/DOID_8736	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
carotid body cancer	http://purl.obolibrary.org/obo/DOID_8731	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
malignant carotid body paraganglioma	http://purl.obolibrary.org/obo/DOID_8731	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
malignant carotid body tumor	http://purl.obolibrary.org/obo/DOID_8731	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
carotid body cancer	http://purl.obolibrary.org/obo/DOID_8731	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
malignant carotid body paraganglioma	http://purl.obolibrary.org/obo/DOID_8731	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
malignant carotid body tumor	http://purl.obolibrary.org/obo/DOID_8731	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
milker's nodule	http://purl.obolibrary.org/obo/DOID_8729	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
milker nodule	http://purl.obolibrary.org/obo/DOID_8729	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
paravaccinia	http://purl.obolibrary.org/obo/DOID_8729	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
milkers' node	http://purl.obolibrary.org/obo/DOID_8729	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
milker' nodule	http://purl.obolibrary.org/obo/DOID_8729	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
milker nodule	http://purl.obolibrary.org/obo/DOID_8729	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
paravaccinium	http://purl.obolibrary.org/obo/DOID_8729	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
milkers' node	http://purl.obolibrary.org/obo/DOID_8729	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
vascular dementia	http://purl.obolibrary.org/obo/DOID_8725	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
multifocal dementia	http://purl.obolibrary.org/obo/DOID_8725	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
multi infarct dementia	http://purl.obolibrary.org/obo/DOID_8725	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
vascular dementia	http://purl.obolibrary.org/obo/DOID_8725	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
multifocal dementia	http://purl.obolibrary.org/obo/DOID_8725	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
multus infarct dementia	http://purl.obolibrary.org/obo/DOID_8725	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
bronchitis	http://purl.obolibrary.org/obo/DOID_6132	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
ci \- chest infection	http://purl.obolibrary.org/obo/DOID_6132	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
chest cold	http://purl.obolibrary.org/obo/DOID_6132	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
chest infection	http://purl.obolibrary.org/obo/DOID_6132	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
bronchitis	http://purl.obolibrary.org/obo/DOID_6132	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
ci \- chest infection	http://purl.obolibrary.org/obo/DOID_6132	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
chest cold	http://purl.obolibrary.org/obo/DOID_6132	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
chest infection	http://purl.obolibrary.org/obo/DOID_6132	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
eye carcinoma in situ	http://purl.obolibrary.org/obo/DOID_8792	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
carcinoma in situ of eye	http://purl.obolibrary.org/obo/DOID_8792	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
eye carcinoma in situ	http://purl.obolibrary.org/obo/DOID_8792	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
carcinoma in situ of eye	http://purl.obolibrary.org/obo/DOID_8792	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
breast carcinoma in situ	http://purl.obolibrary.org/obo/DOID_8791	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
non\-infiltrating carcinoma of breast	http://purl.obolibrary.org/obo/DOID_8791	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
carcinoma in situ of breast	http://purl.obolibrary.org/obo/DOID_8791	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
breast carcinoma in situ	http://purl.obolibrary.org/obo/DOID_8791	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
non\-infiltrate carcinoma of breast	http://purl.obolibrary.org/obo/DOID_8791	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
carcinoma in situ of breast	http://purl.obolibrary.org/obo/DOID_8791	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
disseminated chorioretinitis	http://purl.obolibrary.org/obo/DOID_8787	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
disseminate chorioretinitis	http://purl.obolibrary.org/obo/DOID_8787	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
rubella	http://purl.obolibrary.org/obo/DOID_8781	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
german measles	http://purl.obolibrary.org/obo/DOID_8781	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
rubella	http://purl.obolibrary.org/obo/DOID_8781	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
german measles	http://purl.obolibrary.org/obo/DOID_8781	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
cutaneous anthrax	http://purl.obolibrary.org/obo/DOID_7426	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
cutaneous anthrax	http://purl.obolibrary.org/obo/DOID_7426	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
gastric mucosal hypertrophy	http://purl.obolibrary.org/obo/DOID_8757	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
hypertrophic gastropathy	http://purl.obolibrary.org/obo/DOID_8757	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
familial giant hypertrophic gastritis	http://purl.obolibrary.org/obo/DOID_8757	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
menetrier disease	http://purl.obolibrary.org/obo/DOID_8757	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
hypertrophic gastritis	http://purl.obolibrary.org/obo/DOID_8757	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
giant rugal hypertrophy of stomach	http://purl.obolibrary.org/obo/DOID_8757	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
gastric mucosal hypertrophy	http://purl.obolibrary.org/obo/DOID_8757	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
hypertrophic gastropathy	http://purl.obolibrary.org/obo/DOID_8757	<http://www.w3.org/2002/07/owl#Thing>	DOID	1
